num,date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
0,January 2019,29.81943504,11.929617270000001,7.34177367,15.750313989999999,14.91622413,29.22535128,13.76770797,19.277243239999997,1.705491423,83.89686235,18.54435111,40.919663129999996,30.023351820000002,14.49294027,46.5895571,60.880187223099995,14.039203930000001,16.60424952,45.07793108,12.38616577,6.40986337,25.224807459999997,87.6834553,9.799598360000001,41.421098570000005,15.5421911,17.0751932,0.133906247,28.94172228,14.0077615,25.3406163
1,February 2019,23.012478859999998,10.109319679999999,5.6883432,12.125114799999999,11.864381170000001,22.4708428,10.55418492,14.80191672,1.317481952,65.46705104,15.36079341,32.20726972,23.01203654,11.141761729999999,36.7714552,46.8413576092,10.80111627,13.66760047,36.27627896,9.752804489999999,5.046912659999999,20.0122401,69.5312903,7.57043754,32.794725,11.9829661,13.83511949,0.108769942,22.89064017,10.73858433,19.5288283
2,March 2019,28.701090429999997,8.57923062,6.74361417,15.674461870000002,13.259064930000001,32.35459066,13.357601970000001,19.705835465,1.796023446,80.68884764999999,14.59305339,33.0708305,30.22563431,12.86720406,41.817927839999996,62.14499244126,13.08736337,13.441789100000001,39.14934625,10.419916259999999,5.4584962909999994,22.71727329,78.20131649999999,9.42582311,34.77583876,16.9333793,15.63438712,0.14487154800000002,25.38686352,16.339438536,29.2262684
3,April 2019,27.861701339999996,6.15098422,7.07022338,16.01346391,10.23305098,32.39337539,12.17402894,19.570502527000002,1.882128548,85.04342953000001,12.81863577,32.28687626,30.447059060000004,11.8867559,40.58808747,59.864600434059994,13.27261886,11.71803454,35.111715970000006,9.26667599,4.059397487,20.54003976,76.5887723,8.30258315,35.4393521,17.3676379,14.71396492,0.180847948,23.62184632,17.565547798,28.73254939
4,May 2019,28.51947759,5.55083632,6.2710013,16.7500883,8.104055240000001,33.529429900000004,13.24364361,18.635298277,1.908444503,87.29964603,12.334565699999999,33.84506224,33.70702229,11.66062454,40.36139584,59.370824887590004,13.64839821,10.86382413,34.22500864,10.1091485,3.59177443,20.6671141,77.8926603,8.453007190000001,36.36226601,17.1686872,14.88597073,0.22647752999999998,23.23983015,17.791405227,28.1508107
5,June 2019,29.924518709999997,5.433361059999999,6.124433,16.144282399999998,8.340553790000001,37.4410148,13.317507640000002,16.711431321000003,1.930580446,86.99249255999999,12.24973679,35.46018606,33.49312017,13.628994040000002,43.20363889,57.963291425120005,13.427871060000001,11.1877087,35.2297642,9.802547270000002,3.06431665,19.362089100000002,79.1348909,8.17926215,37.71540805,17.5360269,14.70181701,0.245403419,22.90867128,15.700253171,27.1512982
6,July 2019,33.06534715,6.0901832,6.508299899999999,17.1621296,8.90157537,38.1568265,11.617826789999999,16.395300043,2.030354892,81.02412677999999,12.648699879999999,41.85264900000001,35.88740626,14.56468159,47.20491562,64.47642291307,14.59373022,12.139479309999999,38.874443889999995,11.867349110000001,2.88300826,20.5336532,81.91080129999999,9.0277164,39.82868204,16.449076899999998,15.799951399999998,0.25655316699999997,25.638887890000003,14.342914341999998,27.2583189
7,August 2019,33.69363841,6.084380879999999,7.556150819999999,19.36535395,9.78344973,36.89748422,12.39276978,18.685541340000004,1.709520963,84.91584817999998,11.838008319999998,39.73275447,37.014823220000004,18.085755579999997,47.12989823000001,66.51254178461,16.41853671,11.995488670000002,37.0811364,11.815762030000002,3.2110725599999994,20.6618073,77.1305367,9.84498296,38.34347872,17.4484195,14.44604588,0.21910805899999997,24.80109049,14.415062211999999,30.7805262
8,September 2019,29.431331689999997,5.98307618,7.0268304,19.361092900000003,9.26321934,37.2548561,13.894622649999999,18.574710323,1.514271306,79.00680279,11.60882198,34.435383030000004,35.32007076,17.05277106,44.00612477,60.44216946007,14.92045965,11.2757917,36.80219347,11.030127910000001,3.5616966,18.9199651,75.8119468,8.33627778,34.43091335,16.6779801,14.298743259999998,0.24607463999999998,22.86560054,14.120619404000001,27.498454199999998
9,October 2019,28.023876129999998,6.511392259999999,6.2570167,18.7639176,9.99695141,36.4780556,14.46826564,19.057805200999997,1.6578079369999998,77.45137073999999,13.29263111,30.44482263,27.98280222,15.64241106,43.748837030000004,60.113178185840006,15.14192882,12.09426169,38.00958667,10.267122670000001,3.799878,18.6488868,76.6377545,8.32449607,35.18835507,17.2943477,14.72936185,0.2277409489999999,27.47856707,15.648708549,27.9859156
